fips,pop
13243,7327
13245,202587
13247,85820
13249,4990
13251,14202
13253,8947
13255,63865
13257,25891
13259,6042
13261,31554
13263,6517
13265,1680
13267,25384
13269,8420
13271,16349
13273,9045
13275,44724
13277,41064
13279,27315
13281,10495
13283,6769
13285,68468
13287,8410
13289,8447
13291,21451
13293,26630
13295,68094
13297,84575
13299,35821
13301,5578
13303,20879
13305,30305
13307,2793
13309,7888
13311,27556
13313,103359
13315,9068
13317,10076
13319,9577
13321,21741
15001,189191
15003,976372
15005,90
15007,68434
15009,158226
16001,409061
16003,3915
16005,83800
16007,5907
16009,9117
16011,45474
16013,21146
16015,6835
16017,40476
16019,106684
16021,10808
16023,2740
16025,1077
16027,193888
16029,6787
16031,23249
16033,869
16035,8590
16037,4331
16039,26223
16041,12786
16043,12957
16045,16673
16047,15291
16049,16308
16051,26684
16053,22499
16055,142357
16057,38184
16059,7758
16061,3889
16063,5277
16065,37456
16067,20037
16069,39531
16071,4215
16073,11439
16075,22639
16077,7778
16079,12702
16081,10052
16083,78595
16085,9545
16087,10099
17001,67197
17003,7748
17005,17644
17007,53940
17009,6914
17011,34323
17013,5014
17015,15011
17017,13338
17019,203276
17021,34638
17023,16209
17025,13766
17027,38061
17029,53655
17031,5231351
17033,19600
17035,10968
17037,104704
17039,16434
17041,19853
17043,927987
17045,18191
17047,6684
17049,34353
17051,22014
17053,14008
17055,39407
17057,36651
17059,5430
17061,13576
17063,50281
17065,8370
17067,18891
17069,4258
17071,7043
17073,50155
17075,29240
17077,60071
17079,9614
17081,38720
17083,22742
17085,22549
17087,12760
17089,522487
17091,113040
17093,118105
17095,52247
17097,702120
17099,112973
17101,16604
17103,35037
17105,38647
17107,30013
17109,32537
17111,308145
17113,172281
17115,110122
17117,47231
17119,267883
17121,38894
17123,12327
17125,14327
17127,15234
17129,12722
17131,16219
17133,33357
17135,29620
17137,35272
17139,14933
17141,52848
17143,187254
17145,22058
17147,16504
17149,16308
17151,4272
17153,5998
17155,5886
17157,32956
17159,16176
17161,147457
17163,268858
17165,24946
17167,199271
17169,7457
17171,5290
17173,22196
